
                                  SUMMARY OF ENERGY TRANSFER AT THE SURFACE


                               SOLAR RADIATION                         LONG-WAVE RADIATION
               ------------------------------------------    -----------------------------------------
 DAY HR  YR    CANOPY     SNOW   RESIDUE    SOIL   TOTAL     CANOPY    SNOW   RESIDUE    SOIL    TOTAL  SENSIBLE  LATENT
                KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2   KJ/M2
 337  2   86       0.       0.       0.       0.       0.       0.       0.       0.     138.     138.     164.      25.
 337  3   86       0.       0.       0.       0.       0.       0.       0.       0.     130.     130.     138.     -83.
 337  4   86       0.       0.       0.       0.       0.       0.       0.       0.     124.     124.     134.       3.
 337  5   86       0.       0.       0.       0.       0.       0.       0.       0.     117.     117.     181.     -59.
 337  6   86       0.       0.       0.       0.       0.       0.       0.       0.     111.     111.     159.      20.
 337  7   86       0.       0.       0.       0.       0.       0.       0.       0.     143.     143.     217.      66.
 337  8   86       0.       0.       0.      20.      20.       0.       0.       0.     197.     197.     240.     -34.
 337  9   86       0.       0.       0.     115.     115.       0.       0.       0.     207.     207.     254.      -1.
 337 10   86       0.       0.       0.     228.     228.       0.       0.       0.     214.     214.     228.      23.
 337 11   86       0.       0.       0.     206.     206.       0.       0.       0.     221.     221.     239.      11.
 337 12   86       0.       0.       0.     163.     163.       0.       0.       0.     230.     230.     218.      29.
 337 13   86       0.       0.       0.     165.     165.       0.       0.       0.     218.     218.     197.      71.
 337 14   86       0.       0.       0.     128.     128.       0.       0.       0.     209.     209.     194.     -53.
 337 15   86       0.       0.       0.      84.      84.       0.       0.       0.     225.     225.     135.      57.
 337 16   86       0.       0.       0.      25.      25.       0.       0.       0.     222.     222.      98.     -53.
 337 17   86       0.       0.       0.       1.       1.       0.       0.       0.     134.     134.      36.     -42.
 337 18   86       0.       0.       0.       0.       0.       0.       0.       0.     137.     137.      58.     -37.
 337 19   86       0.       0.       0.       0.       0.       0.       0.       0.      97.      97.      70.     -43.
 337 20   86       0.       0.       0.       0.       0.       0.       0.       0.      78.      78.      65.      -7.
 337 21   86       0.       0.       0.       0.       0.       0.       0.       0.      61.      61.      60.    -123.
 337 22   86       0.       0.       0.       0.       0.       0.       0.       0.      65.      65.      23.      -6.
 337 23   86       0.       0.       0.       0.       0.       0.       0.       0.      47.      47.      20.     -15.
 337 24   86       0.       0.       0.       0.       0.       0.       0.       0.      51.      51.      53.    -117.
 338  1   86       0.       0.       0.       0.       0.       0.       0.       0.      35.      35.      32.     -80.
 338  2   86       0.       0.       0.       0.       0.       0.       0.       0.      38.      38.      18.     -27.
 338  3   86       0.       0.       0.       0.       0.       0.       0.       0.      41.      41.      31.     -67.
 338  4   86       0.       0.       0.       0.       0.       0.       0.       0.      44.      44.      68.    -115.
 338  5   86       0.       0.       0.       0.       0.       0.       0.       0.      47.      47.     119.    -147.
 338  6   86       0.       0.       0.       0.       0.       0.       0.       0.      48.      48.      61.     -80.
 338  7   86       0.       0.       0.       0.       0.       0.       0.       0.      89.      89.      71.      -3.
 338  8   86       0.       0.       0.      29.      29.       0.       0.       0.     148.     148.     107.      34.
 338  9   86       0.       0.       0.     184.     184.       0.       0.       0.     161.     161.      85.     -34.
 338 10   86       0.       0.       0.     408.     408.       0.       0.       0.     170.     170.      56.       6.
 338 11   86       0.       0.       0.     521.     521.       0.       0.       0.     175.     175.     102.       4.
 338 12   86       0.       0.       0.     536.     536.       0.       0.       0.     178.     178.      62.      -4.
 338 13   86       0.       0.       0.     530.     530.       0.       0.       0.     162.     162.      65.     -19.
 338 14   86       0.       0.       0.     435.     435.       0.       0.       0.     149.     149.     123.    -119.
 338 15   86       0.       0.       0.     194.     194.       0.       0.       0.     164.     164.     104.       7.
 338 16   86       0.       0.       0.      54.      54.       0.       0.       0.     162.     162.      67.     -56.
 338 17   86       0.       0.       0.       1.       1.       0.       0.       0.      77.      77.      24.     -11.
 338 18   86       0.       0.       0.       0.       0.       0.       0.       0.      83.      83.      69.     -76.
 338 19   86       0.       0.       0.       0.       0.       0.       0.       0.      47.      47.      49.     -94.
 338 20   86       0.       0.       0.       0.       0.       0.       0.       0.      33.      33.      16.     -47.
 338 21   86       0.       0.       0.       0.       0.       0.       0.       0.      18.      18.      13.     -27.
 338 22   86       0.       0.       0.       0.       0.       0.       0.       0.      24.      24.      14.     -26.
 338 23   86       0.       0.       0.       0.       0.       0.       0.       0.      10.      10.      83.    -199.
 338 24   86       0.       0.       0.       0.       0.       0.       0.       0.      21.      21.     158.    -475.
 339  1   86       0.       0.       0.       0.       0.       0.       0.       0.      13.      13.     120.    -431.
 339  2   86       0.       0.       0.       0.       0.       0.       0.       0.      25.      25.     183.    -498.
 339  3   86       0.       0.       0.       0.       0.       0.       0.       0.      30.      30.     267.    -262.
 339  4   86       0.       0.       0.       0.       0.       0.       0.       0.      31.      31.     173.    -190.
 339  5   86       0.       0.       0.       0.       0.       0.       0.       0.      31.      31.      33.     -51.
 339  6   86       0.       0.       0.       0.       0.       0.       0.       0.      32.      32.      51.     -86.
 339  7   86       0.       0.       0.       0.       0.       0.       0.       0.      74.      74.      79.    -140.
 339  8   86       0.       0.       0.       3.       3.       0.       0.       0.     136.     136.     197.    -131.
 339  9   86       0.       0.       0.      26.      26.       0.       0.       0.     151.     151.     176.     -33.
 339 10   86       0.       0.       0.      86.      86.       0.       0.       0.     164.     164.     138.      -7.
 339 11   86       0.       0.       0.     182.     182.       0.       0.       0.     175.     175.     143.     -52.
 339 12   86       0.       0.       0.      97.      97.       0.       0.       0.     189.     189.     115.     -77.
 339 13   86       0.       0.       0.     136.     136.       0.       0.       0.     188.     188.     145.    -104.
 339 14   86       0.       0.       0.     164.     164.       0.       0.       0.     195.     195.     161.     -42.
 339 15   86       0.       0.       0.     158.     158.       0.       0.       0.     210.     210.     159.     113.
 339 16   86       0.       0.       0.      65.      65.       0.       0.       0.     208.     208.     165.      90.
 339 17   86       0.       0.       0.       2.       2.       0.       0.       0.     117.     117.      91.      -1.
