AVERAGE PREDICTED MOISTURE CONTENT FOR EACH NODE (M3/M3)
  DY HR  YR   0.00  0.50  1.00  1.50  2.00  2.50  3.00  3.50  4.00  4.50  5.00
 337  1   86-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019
 337  2   86-0.019-0.018-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019
 337  3   86-0.019-0.018-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019-0.019
 337  4   86-0.019-0.017-0.019-0.019-0.019-0.018-0.019-0.019-0.019-0.019-0.019
 337  5   86-0.019-0.017-0.019-0.019-0.019-0.018-0.019-0.019-0.019-0.019-0.019
 337  6   86-0.019-0.017-0.019-0.018-0.019-0.018-0.019-0.019-0.019-0.019-0.019
 337  7   86-0.019-0.017-0.019-0.018-0.019-0.018-0.019-0.019-0.019-0.019-0.019
 337  8   86-0.019-0.017-0.019-0.018-0.019-0.018-0.019-0.019-0.019-0.019-0.019
 337  9   86-0.019-0.016-0.019-0.018-0.019-0.017-0.019-0.019-0.019-0.019-0.019
 337 10   86-0.019-0.016-0.019-0.018-0.019-0.017-0.019-0.019-0.019-0.019-0.019
 337 11   86-0.019-0.016-0.019-0.018-0.019-0.017-0.019-0.019-0.019-0.019-0.019
 337 12   86-0.019-0.016-0.019-0.018-0.019-0.017-0.019-0.019-0.019-0.019-0.019
 337 13   86-0.019-0.016-0.019-0.018-0.019-0.017-0.019-0.019-0.019-0.019-0.019
 337 14   86-0.019-0.016-0.019-0.018-0.019-0.016-0.019-0.019-0.019-0.019-0.019
 337 15   86-0.019-0.016-0.019-0.018-0.019-0.016-0.019-0.019-0.019-0.019-0.019
 337 16   86-0.019-0.016-0.019-0.018-0.019-0.016-0.019-0.019-0.019-0.019-0.019
 337 17   86-0.019-0.016-0.019-0.018-0.019-0.016-0.019-0.019-0.019-0.019-0.019
 337 18   86-0.019-0.016-0.019-0.018-0.019-0.016-0.019-0.019-0.019-0.019-0.019
 337 19   86-0.019-0.016-0.019-0.018-0.019-0.015-0.019-0.019-0.019-0.019-0.019
 337 20   86-0.019-0.016-0.019-0.018-0.019-0.015-0.019-0.019-0.019-0.019-0.019
 337 21   86-0.019-0.016-0.019-0.018-0.019-0.012-0.019-0.019-0.019-0.019-0.019
 337 22   86-0.019-0.016-0.019-0.018-0.019-0.007-0.019-0.019-0.019-0.019-0.019
 337 23   86-0.019-0.016-0.019-0.018-0.019-0.004-0.019-0.019-0.019-0.019-0.019
 337 24   86-0.019-0.016-0.019-0.018-0.019-0.003-0.019-0.019-0.019-0.019-0.019
 338  1   86-0.019-0.016-0.019-0.018-0.019-0.002-0.019-0.019-0.019-0.019-0.019
 338  2   86-0.019-0.016-0.019-0.018-0.019-0.002-0.019-0.019-0.019-0.019-0.019
 338  3   86-0.019-0.016-0.019-0.018-0.019-0.001-0.019-0.019-0.019-0.019-0.019
 338  4   86-0.019-0.016-0.019-0.018-0.019-0.001-0.019-0.019-0.019-0.019-0.019
 338  5   86-0.019-0.016-0.019-0.018-0.019-0.001-0.019-0.019-0.019-0.019-0.019
 338  6   86-0.019-0.016-0.019-0.018-0.019-0.001-0.019-0.019-0.019-0.019-0.019
 338  7   86-0.019-0.016-0.019-0.018-0.019-0.001-0.019-0.019-0.019-0.019-0.019
 338  8   86-0.019-0.016-0.019-0.018-0.019-0.001-0.019-0.019-0.019-0.019-0.019
 338  9   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 10   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 11   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 12   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 13   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 14   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 15   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 16   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 17   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 18   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 19   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 20   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 21   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 22   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 23   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 338 24   86-0.019-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  1   86-0.018-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  2   86-0.017-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  3   86-0.017-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  4   86-0.017-0.016-0.019-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  5   86-0.017-0.016-0.018-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  6   86-0.017-0.016-0.017-0.018-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  7   86-0.017-0.016-0.017-0.017-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  8   86-0.017-0.016-0.017-0.017-0.019 0.000-0.019-0.019-0.019-0.019-0.019
 339  9   86-0.017-0.016-0.017-0.017-0.017 0.000-0.019-0.019-0.019-0.019-0.019
 339 10   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 339 11   86-0.017-0.016-0.017-0.017-0.017 0.000-0.017-0.019-0.019-0.019-0.019
 339 12   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 339 13   86-0.017-0.016-0.017-0.017-0.017 0.000-0.017-0.018-0.019-0.019-0.019
 339 14   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 339 15   86-0.017-0.016-0.017-0.017-0.017 0.000-0.017-0.019-0.019-0.019-0.019
 339 16   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
 339 17   86-0.017-0.016-0.017-0.017-0.017 0.000-0.018-0.019-0.019-0.019-0.019
