
                                  SUMMARY OF ENERGY TRANSFER AT THE SURFACE


                               SOLAR RADIATION                         LONG-WAVE RADIATION
               ------------------------------------------    -----------------------------------------
 DAY HR  YR    CANOPY     SNOW   RESIDUE    SOIL   TOTAL     CANOPY    SNOW   RESIDUE    SOIL    TOTAL  SENSIBLE  LATENT
                KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2   KJ/M2
 338 24   86     962.       0.     130.      11.    1104.    -507.       0.    -116.    -114.    -737.    -545.     -47.
 339 24   86     768.      17.      33.       2.     820.    -907.    -207.      22.    -151.   -1243.     -81.    -125.
 340 24   86    1500.      52.      11.       1.    1563.    -942.    -401.       0.       0.   -1344.    -466.    -287.
 341 24   86    1536.      54.      21.       1.    1612.    -907.    -428.       0.       0.   -1335.    -423.    -305.
 342 24   86    3248.      62.      43.       3.    3356.   -2686.    -934.       0.       0.   -3620.    -366.    -658.
 343 24   86    3312.      59.      52.       3.    3426.   -3299.   -1242.       0.       0.   -4540.    -225.    -855.
 344 24   86    4422.      41.      37.       2.    4503.   -4380.   -1648.       0.       0.   -6029.      48.   -1065.
 345 24   86    1599.      55.      49.       3.    1706.    -878.    -733.       0.       0.   -1611.   -1007.    -561.
 346 24   86    1228.      42.      29.       2.    1301.    -912.    -410.       0.       0.   -1322.    -263.    -279.
 347 24   86    1902.      56.      58.       4.    2019.    -909.    -120.       0.       0.   -1029.     815.   -1420.
 348 24   86    3552.      55.      24.       2.    3633.   -4275.    -466.       0.       0.   -4741.    2003.      35.
 349 24   86    4313.      11.     103.       8.    4435.   -5352.    -456.    -201.    -470.   -6480.    1496.    -426.
 350 24   86    1804.       0.     248.      22.    2074.    -898.       0.    -103.    -477.   -1478.    -909.    -545.
