
                                   SUMMARY OF WATER BALANCE

                                                      CHANGE IN STORAGE
                       PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP   INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
 338 24   86    0.00    0.00    0.02    0.00    0.00    0.00    0.00    2.66   -2.69    0.00    0.00     0.0    0.00
 339 24   86    8.89    2.43    0.04    0.00    0.00    5.23    0.01   10.24   -9.07    0.00    0.00     0.1    0.00
 340 24   86    0.00    2.34    0.10    0.00    0.00   -0.88    0.00   10.32   -9.45    0.00    0.00     0.2    0.00
 341 24   86    0.00    2.24    0.11    0.00    0.00   -1.13    0.00   10.72   -9.59    0.00    0.00     0.3    0.00
 342 24   86    0.51    2.34    0.23    0.00    0.00   -0.79    0.00   10.61   -9.65    0.00    0.00     0.5    0.00
 343 24   86    0.00    2.12    0.30    0.00    0.00    0.07    0.00    9.44   -9.59    0.00    0.00     0.8    0.00
 344 24   86    0.00    1.81    0.38    0.00    0.00    0.13    0.00    9.26   -9.46    0.00    0.00     1.2    0.00
 345 24   86    0.00    1.69    0.20    0.00    0.00    0.12    0.00    9.13   -9.33    0.00    0.00     1.4    0.00
 346 24   86    1.27    2.45    0.10    0.00    0.00    0.27    0.00    9.18   -9.27    0.23    0.00     1.5    0.00
 347 24   86    3.05    2.43    0.50    0.00    0.00    0.15    0.00   10.24   -9.27    1.44    0.00     2.0    0.00
 348 24   86    1.52    2.27   -0.01    0.00    0.00   -2.02    0.00   12.56   -9.27    0.43    0.00     2.0    0.00
 349 24   86    0.00    2.06    0.15    0.00    0.00   -1.16    0.00    8.97   -7.74    0.00    0.00     2.1    0.00
 350 24   86    0.00    1.87    0.22    0.00    0.00    0.00    0.00    3.72   -3.75    0.00    0.00     2.3    0.00
