SUMMARY	OF	ENERGY	TRANSFER	AT	THE	SURFACE								
														
														
SOLAR	RADIATION	LONG-WAVE	RADIATION											
------------------------------------------	-----------------------------------------													
DAY	HR	YR	CANOPY	SNOW	RESIDUE	SOIL	TOTAL	CANOPY	SNOW	RESIDUE	SOIL	TOTAL	SENSIBLE	LATENT
KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2	KJ/M2			
338	24	86	962	0	130	11	1104	-507	0	-116	-114	-737	-545	-47
339	24	86	768	17	33	2	820	-907	-207	22	-151	-1243	-81	-125
340	24	86	1500	52	11	1	1564	-943	-406	0	0	-1349	-470	-290
341	24	86	1536	53	21	1	1612	-911	-449	0	0	-1359	-439	-316
342	24	86	3243	60	51	3	3357	-2691	-1025	0	0	-3716	-469	-721
343	24	86	3303	54	68	4	3428	-3306	-1317	0	0	-4622	-306	-901
344	24	86	4411	33	57	4	4505	-4398	-1784	0	0	-6182	-75	-1131
345	24	86	1573	38	94	6	1712	-941	-1004	0	0	-1946	-1574	-892
346	24	86	1152	4	149	13	1318	-832	-345	178	-823	-1822	-1105	-771
347	24	86	1777	0	248	22	2047	-704	-80	439	-1250	-1596	-780	-2331
348	24	86	3400	4	242	20	3667	-4057	-43	433	-1790	-5458	-137	-1493
349	24	86	4281	0	150	11	4441	-5102	0	227	-2444	-7319	-423	-1588
350	24	86	1804	0	248	22	2074	-641	0	560	-2407	-2488	-2721	-1607
